imo,ts,lat,lon,sog_kn,cog_deg
9700000,2025-08-27T11:17:56.218488Z,2.777,32.487,12.5,277.0
9700000,2025-08-27T12:17:56.218488Z,2.739,32.501,10.2,150.0
9700000,2025-08-27T13:17:56.218488Z,2.727,32.553,15.5,49.0
9700000,2025-08-27T14:17:56.218488Z,2.712,32.552,11.1,249.0
9700000,2025-08-27T15:17:56.218488Z,2.741,32.669,10.6,92.0
9700000,2025-08-27T16:17:56.218488Z,2.748,32.688,12.5,190.0
9700000,2025-08-27T17:17:56.218488Z,2.744,32.657,12.2,269.0
9700000,2025-08-27T18:17:56.218488Z,2.785,32.782,10.3,109.0
9700000,2025-08-27T19:17:56.218488Z,2.772,32.867,16.1,336.0
9700000,2025-08-27T20:17:56.218488Z,2.842,32.887,11.7,290.0
9700000,2025-08-27T21:17:56.218488Z,2.863,32.951,12.1,11.0
9700000,2025-08-27T22:17:56.218488Z,2.868,33.018,11.6,256.0
9700000,2025-08-27T23:17:56.218488Z,2.831,33.038,8.5,329.0
9700000,2025-08-28T00:17:56.218488Z,2.839,33.081,10.3,214.0
9700000,2025-08-28T01:17:56.218488Z,2.821,33.191,11.6,330.0
9700000,2025-08-28T02:17:56.218488Z,2.858,33.219,10.0,37.0
9700000,2025-08-28T03:17:56.218488Z,2.813,33.256,12.5,159.0
9700000,2025-08-28T04:17:56.218488Z,2.821,33.439,13.9,85.0
9700000,2025-08-28T05:17:56.218488Z,2.797,33.501,9.1,295.0
9700000,2025-08-28T06:17:56.218488Z,2.803,33.491,9.6,288.0
9700000,2025-08-28T07:17:56.218488Z,2.763,33.594,14.7,330.0
9700000,2025-08-28T08:17:56.218488Z,2.741,33.671,10.8,44.0
9700000,2025-08-28T09:17:56.218488Z,2.818,33.677,8.3,209.0
9700000,2025-08-28T10:17:56.218488Z,2.836,33.802,11.0,343.0
9700000,2025-08-28T11:17:56.218488Z,2.866,33.862,12.6,234.0
9700000,2025-08-28T12:17:56.218488Z,2.891,33.891,14.1,95.0
9700000,2025-08-28T13:17:56.218488Z,2.935,34.01,10.3,267.0
9700000,2025-08-28T14:17:56.218488Z,2.934,34.025,13.3,238.0
9700000,2025-08-28T15:17:56.218488Z,2.956,34.116,12.6,37.0
9700000,2025-08-28T16:17:56.218488Z,2.974,34.123,10.6,329.0
9700000,2025-08-28T17:17:56.218488Z,3.009,34.183,9.9,298.0
9700000,2025-08-28T18:17:56.218488Z,3.087,34.235,16.5,109.0
9700000,2025-08-28T19:17:56.218488Z,3.173,34.308,12.3,115.0
9700000,2025-08-28T20:17:56.218488Z,3.18,34.379,15.3,161.0
9700000,2025-08-28T21:17:56.218488Z,3.199,34.439,13.9,109.0
9700000,2025-08-28T22:17:56.218488Z,3.242,34.506,9.9,20.0
9700000,2025-08-28T23:17:56.218488Z,3.276,34.597,13.8,328.0
9700000,2025-08-29T00:17:56.218488Z,3.291,34.589,8.5,316.0
9700000,2025-08-29T01:17:56.218488Z,3.352,34.644,16.8,100.0
9700000,2025-08-29T02:17:56.218488Z,3.373,34.644,11.1,39.0
9700000,2025-08-29T03:17:56.218488Z,3.346,34.635,12.2,348.0
9700000,2025-08-29T04:17:56.218488Z,3.351,34.706,8.1,317.0
9700000,2025-08-29T05:17:56.218488Z,3.397,34.803,13.3,181.0
9700000,2025-08-29T06:17:56.218488Z,3.398,34.849,16.1,276.0
9700000,2025-08-29T07:17:56.218488Z,3.415,34.927,12.1,186.0
9700000,2025-08-29T08:17:56.218488Z,3.428,34.956,14.5,173.0
9700000,2025-08-29T09:17:56.218488Z,3.462,34.982,7.2,41.0
9700000,2025-08-29T10:17:56.218488Z,3.481,35.037,13.9,337.0
9700000,2025-08-29T11:17:56.218488Z,3.454,35.106,13.8,275.0
9700000,2025-08-29T12:17:56.218488Z,3.49,35.059,9.5,171.0
9700000,2025-08-29T13:17:56.218488Z,3.501,35.221,8.8,169.0
9700000,2025-08-29T14:17:56.218488Z,3.503,35.314,11.3,2.0
9700000,2025-08-29T15:17:56.218488Z,3.541,35.333,14.0,187.0
9700000,2025-08-29T16:17:56.218488Z,3.566,35.251,11.2,214.0
9700000,2025-08-29T17:17:56.218488Z,3.607,35.345,12.1,134.0
9700000,2025-08-29T18:17:56.218488Z,3.636,35.362,14.1,120.0
9700000,2025-08-29T19:17:56.218488Z,3.674,35.392,12.7,300.0
9700000,2025-08-29T20:17:56.218488Z,3.709,35.368,10.4,19.0
9700000,2025-08-29T21:17:56.218488Z,3.706,35.313,16.7,109.0
9700000,2025-08-29T22:17:56.218488Z,3.702,35.265,14.2,182.0
9700000,2025-08-29T23:17:56.218488Z,3.711,35.301,13.5,325.0
9700000,2025-08-30T00:17:56.218488Z,3.672,35.286,8.6,186.0
9700000,2025-08-30T01:17:56.218488Z,3.72,35.409,7.9,124.0
9700000,2025-08-30T02:17:56.218488Z,3.721,35.605,15.5,310.0
9700000,2025-08-30T03:17:56.218488Z,3.765,35.675,11.0,300.0
9700000,2025-08-30T04:17:56.218488Z,3.761,35.755,15.9,152.0
9700000,2025-08-30T05:17:56.218488Z,3.76,35.731,12.6,170.0
9700000,2025-08-30T06:17:56.218488Z,3.818,35.85,13.0,47.0
9700000,2025-08-30T07:17:56.218488Z,3.877,35.845,10.9,24.0
9700000,2025-08-30T08:17:56.218488Z,3.864,35.893,13.6,279.0
9700000,2025-08-30T09:17:56.218488Z,3.919,36.019,13.2,220.0
9700000,2025-08-30T10:17:56.218488Z,3.911,36.061,18.0,160.0
9700000,2025-08-30T11:17:56.218488Z,3.893,36.111,12.3,64.0
9700000,2025-08-30T12:17:56.218488Z,3.951,36.253,12.1,242.0
9700000,2025-08-30T13:17:56.218488Z,3.99,36.302,7.8,113.0
9700000,2025-08-30T14:17:56.218488Z,4.028,36.371,9.5,170.0
9700000,2025-08-30T15:17:56.218488Z,4.053,36.364,8.7,147.0
9700000,2025-08-30T16:17:56.218488Z,4.094,36.391,13.2,112.0
9700000,2025-08-30T17:17:56.218488Z,4.118,36.406,14.4,345.0
9700000,2025-08-30T18:17:56.218488Z,4.155,36.414,8.7,93.0
9700000,2025-08-30T19:17:56.218488Z,4.203,36.516,13.5,292.0
9700000,2025-08-30T20:17:56.218488Z,4.199,36.565,12.0,166.0
9700000,2025-08-30T21:17:56.218488Z,4.205,36.595,17.1,39.0
9700000,2025-08-30T22:17:56.218488Z,4.198,36.719,9.2,107.0
9700000,2025-08-30T23:17:56.218488Z,4.209,36.765,13.5,197.0
9700000,2025-08-31T00:17:56.218488Z,4.247,36.795,12.9,138.0
9700000,2025-08-31T01:17:56.218488Z,4.226,36.869,12.2,244.0
9700000,2025-08-31T02:17:56.218488Z,4.233,36.899,11.4,307.0
9700000,2025-08-31T03:17:56.218488Z,4.315,36.813,13.2,343.0
9700000,2025-08-31T04:17:56.218488Z,4.329,36.909,16.1,299.0
9700000,2025-08-31T05:17:56.218488Z,4.353,37.057,8.9,185.0
9700000,2025-08-31T06:17:56.218488Z,4.36,37.16,15.0,96.0
9700000,2025-08-31T07:17:56.218488Z,4.381,37.124,15.6,124.0
9700000,2025-08-31T08:17:56.218488Z,4.396,37.222,12.5,177.0
9700000,2025-08-31T09:17:56.218488Z,4.434,37.282,12.8,348.0
9700000,2025-08-31T10:17:56.218488Z,4.45,37.387,9.8,303.0
9700000,2025-08-31T11:17:56.218488Z,4.443,37.444,15.5,290.0
9700000,2025-08-31T12:17:56.218488Z,4.398,37.527,10.9,172.0
9700000,2025-08-31T13:17:56.218488Z,4.414,37.534,11.8,278.0
9700000,2025-08-31T14:17:56.218488Z,4.443,37.539,9.2,152.0
9700000,2025-08-31T15:17:56.218488Z,4.496,37.618,10.4,252.0
9700000,2025-08-31T16:17:56.218488Z,4.496,37.713,9.9,251.0
9700001,2025-08-23T09:17:56.221270Z,-23.652,96.489,8.3,73.0
9700001,2025-08-23T10:17:56.221270Z,-23.629,96.521,15.4,96.0
9700001,2025-08-23T11:17:56.221270Z,-23.625,96.627,11.0,116.0
9700001,2025-08-23T12:17:56.221270Z,-23.638,96.636,10.2,241.0
9700001,2025-08-23T13:17:56.221270Z,-23.649,96.593,12.8,113.0
9700001,2025-08-23T14:17:56.221270Z,-23.629,96.707,12.2,134.0
9700001,2025-08-23T15:17:56.221270Z,-23.611,96.807,10.6,284.0
9700001,2025-08-23T16:17:56.221270Z,-23.619,96.817,11.4,359.0
9700001,2025-08-23T17:17:56.221270Z,-23.595,96.852,12.6,171.0
9700001,2025-08-23T18:17:56.221270Z,-23.554,96.986,15.7,310.0
9700001,2025-08-23T19:17:56.221270Z,-23.532,97.019,13.2,191.0
9700001,2025-08-23T20:17:56.221270Z,-23.565,97.11,11.4,300.0
9700001,2025-08-23T21:17:56.221270Z,-23.56,97.149,12.0,272.0
9700001,2025-08-23T22:17:56.221270Z,-23.499,97.135,11.6,295.0
9700001,2025-08-23T23:17:56.221270Z,-23.441,97.157,11.1,163.0
9700001,2025-08-24T00:17:56.221270Z,-23.381,97.28,7.9,150.0
9700001,2025-08-24T01:17:56.221270Z,-23.353,97.328,12.2,310.0
9700001,2025-08-24T02:17:56.221270Z,-23.302,97.423,12.5,87.0
9700001,2025-08-24T03:17:56.221270Z,-23.294,97.392,11.3,2.0
9700001,2025-08-24T04:17:56.221270Z,-23.235,97.416,13.2,206.0
9700001,2025-08-24T05:17:56.221270Z,-23.183,97.47,11.3,132.0
9700001,2025-08-24T06:17:56.221270Z,-23.13,97.468,11.7,166.0
9700001,2025-08-24T07:17:56.221270Z,-23.051,97.564,7.4,38.0
9700001,2025-08-24T08:17:56.221270Z,-23.05,97.68,10.2,155.0
9700001,2025-08-24T09:17:56.221270Z,-23.049,97.712,13.6,31.0
9700001,2025-08-24T10:17:56.221270Z,-22.958,97.711,9.3,349.0
9700001,2025-08-24T11:17:56.221270Z,-22.899,97.744,9.3,292.0
9700001,2025-08-24T12:17:56.221270Z,-22.91,97.81,11.8,194.0
9700001,2025-08-24T13:17:56.221270Z,-22.879,97.901,11.0,115.0
9700001,2025-08-24T14:17:56.221270Z,-22.855,97.948,12.6,161.0
9700001,2025-08-24T15:17:56.221270Z,-22.815,97.939,10.9,36.0
9700001,2025-08-24T16:17:56.221270Z,-22.829,98.042,8.5,130.0
9700001,2025-08-24T17:17:56.221270Z,-22.854,98.098,13.8,257.0
9700001,2025-08-24T18:17:56.221270Z,-22.798,98.191,9.9,116.0
9700001,2025-08-24T19:17:56.221270Z,-22.754,98.312,9.4,167.0
9700001,2025-08-24T20:17:56.221270Z,-22.792,98.381,11.7,195.0
9700001,2025-08-24T21:17:56.221270Z,-22.771,98.389,13.1,272.0
9700001,2025-08-24T22:17:56.221270Z,-22.723,98.518,12.3,245.0
9700001,2025-08-24T23:17:56.221270Z,-22.737,98.653,15.9,332.0
9700001,2025-08-25T00:17:56.221270Z,-22.715,98.744,15.3,348.0
9700001,2025-08-25T01:17:56.221270Z,-22.694,98.739,11.7,304.0
9700001,2025-08-25T02:17:56.221270Z,-22.642,98.795,5.3,200.0
9700001,2025-08-25T03:17:56.221270Z,-22.619,98.834,12.1,154.0
9700001,2025-08-25T04:17:56.221270Z,-22.615,98.884,11.6,164.0
9700001,2025-08-25T05:17:56.221270Z,-22.539,98.91,6.4,209.0
9700001,2025-08-25T06:17:56.221270Z,-22.545,99.005,10.3,105.0
9700001,2025-08-25T07:17:56.221270Z,-22.526,99.105,11.5,329.0
9700001,2025-08-25T08:17:56.221270Z,-22.499,99.136,7.2,17.0
9700001,2025-08-25T09:17:56.221270Z,-22.392,99.095,12.6,96.0
9700001,2025-08-25T10:17:56.221270Z,-22.317,99.09,12.3,125.0
9700001,2025-08-25T11:17:56.221270Z,-22.303,99.101,11.9,332.0
9700001,2025-08-25T12:17:56.221270Z,-22.292,99.198,13.0,218.0
9700001,2025-08-25T13:17:56.221270Z,-22.262,99.296,15.3,243.0
9700001,2025-08-25T14:17:56.221270Z,-22.218,99.281,6.4,86.0
9700001,2025-08-25T15:17:56.221270Z,-22.208,99.344,8.9,310.0
9700001,2025-08-25T16:17:56.221270Z,-22.209,99.426,10.7,10.0
9700001,2025-08-25T17:17:56.221270Z,-22.211,99.534,14.2,192.0
9700001,2025-08-25T18:17:56.221270Z,-22.171,99.572,11.2,181.0
9700001,2025-08-25T19:17:56.221270Z,-22.132,99.577,13.3,308.0
9700001,2025-08-25T20:17:56.221270Z,-22.106,99.629,11.8,240.0
9700001,2025-08-25T21:17:56.221270Z,-22.134,99.764,14.5,199.0
9700001,2025-08-25T22:17:56.221270Z,-22.113,99.786,12.7,273.0
9700001,2025-08-25T23:17:56.221270Z,-22.087,99.785,10.8,315.0
9700001,2025-08-26T00:17:56.221270Z,-22.083,99.702,11.6,266.0
9700001,2025-08-26T01:17:56.221270Z,-22.037,99.723,11.9,15.0
9700001,2025-08-26T02:17:56.221270Z,-22.07,99.73,13.0,342.0
9700001,2025-08-26T03:17:56.221270Z,-22.063,99.859,10.1,267.0
9700001,2025-08-26T04:17:56.221270Z,-22.021,99.936,13.8,156.0
9700001,2025-08-26T05:17:56.221270Z,-21.995,99.973,11.4,250.0
9700001,2025-08-26T06:17:56.221270Z,-21.987,99.932,9.0,275.0
9700001,2025-08-26T07:17:56.221270Z,-22.034,99.882,11.2,327.0
9700001,2025-08-26T08:17:56.221270Z,-22.024,99.813,15.9,353.0
9700001,2025-08-26T09:17:56.221270Z,-22.028,99.8,15.2,278.0
9700001,2025-08-26T10:17:56.221270Z,-22.022,99.823,12.4,83.0
9700001,2025-08-26T11:17:56.221270Z,-21.991,99.845,13.3,286.0
9700001,2025-08-26T12:17:56.221270Z,-21.989,99.793,11.4,268.0
9700001,2025-08-26T13:17:56.221270Z,-21.966,99.83,10.5,211.0
9700001,2025-08-26T14:17:56.221270Z,-21.911,99.857,17.9,181.0
9700001,2025-08-26T15:17:56.221270Z,-21.88,99.909,12.9,110.0
9700001,2025-08-26T16:17:56.221270Z,-21.827,99.871,14.1,167.0
9700001,2025-08-26T17:17:56.221270Z,-21.806,100.006,16.4,61.0
9700001,2025-08-26T18:17:56.221270Z,-21.802,99.997,13.9,310.0
9700001,2025-08-26T19:17:56.221270Z,-21.843,100.101,11.4,86.0
9700001,2025-08-26T20:17:56.221270Z,-21.809,100.197,11.1,32.0
9700001,2025-08-26T21:17:56.221270Z,-21.738,100.213,14.9,129.0
9700001,2025-08-26T22:17:56.221270Z,-21.705,100.282,14.2,122.0
9700001,2025-08-26T23:17:56.221270Z,-21.71,100.358,8.6,265.0
9700001,2025-08-27T00:17:56.221270Z,-21.707,100.429,16.2,37.0
9700001,2025-08-27T01:17:56.221270Z,-21.698,100.494,14.4,207.0
9700001,2025-08-27T02:17:56.221270Z,-21.683,100.548,11.7,187.0
9700001,2025-08-27T03:17:56.221270Z,-21.673,100.592,11.0,172.0
9700001,2025-08-27T04:17:56.221270Z,-21.627,100.668,16.7,360.0
9700001,2025-08-27T05:17:56.221270Z,-21.619,100.736,11.0,359.0
9700001,2025-08-27T06:17:56.221270Z,-21.597,100.814,11.4,75.0
9700001,2025-08-27T07:17:56.221270Z,-21.6,100.865,13.9,83.0
9700001,2025-08-27T08:17:56.221270Z,-21.572,100.926,10.9,159.0
9700001,2025-08-27T09:17:56.221270Z,-21.574,100.983,14.8,269.0
9700001,2025-08-27T10:17:56.221270Z,-21.587,101.024,6.5,317.0
9700001,2025-08-27T11:17:56.221270Z,-21.549,101.152,7.5,64.0
9700001,2025-08-27T12:17:56.221270Z,-21.525,101.121,12.4,67.0
9700001,2025-08-27T13:17:56.221270Z,-21.544,101.178,9.0,80.0
9700001,2025-08-27T14:17:56.221270Z,-21.517,101.196,8.9,234.0
9700001,2025-08-27T15:17:56.221270Z,-21.457,101.207,10.9,41.0
9700001,2025-08-27T16:17:56.221270Z,-21.39,101.162,15.2,55.0
9700001,2025-08-27T17:17:56.221270Z,-21.372,101.195,12.6,124.0
9700001,2025-08-27T18:17:56.221270Z,-21.32,101.3,9.5,299.0
9700001,2025-08-27T19:17:56.221270Z,-21.311,101.352,15.8,346.0
9700001,2025-08-27T20:17:56.221270Z,-21.263,101.425,11.5,115.0
9700001,2025-08-27T21:17:56.221270Z,-21.236,101.417,10.5,29.0
9700001,2025-08-27T22:17:56.221270Z,-21.224,101.535,13.5,213.0
9700001,2025-08-27T23:17:56.221270Z,-21.212,101.596,13.9,284.0
9700001,2025-08-28T00:17:56.221270Z,-21.229,101.643,13.4,55.0
9700001,2025-08-28T01:17:56.221270Z,-21.236,101.781,11.8,274.0
9700001,2025-08-28T02:17:56.221270Z,-21.236,101.887,13.4,233.0
9700001,2025-08-28T03:17:56.221270Z,-21.25,101.991,13.9,121.0
9700001,2025-08-28T04:17:56.221270Z,-21.229,102.037,11.5,258.0
9700001,2025-08-28T05:17:56.221270Z,-21.226,102.028,11.1,105.0
9700001,2025-08-28T06:17:56.221270Z,-21.168,102.01,10.6,278.0
9700001,2025-08-28T07:17:56.221270Z,-21.11,102.096,16.0,166.0
9700001,2025-08-28T08:17:56.221270Z,-21.096,102.189,8.6,71.0
9700001,2025-08-28T09:17:56.221270Z,-21.046,102.249,14.4,215.0
9700001,2025-08-28T10:17:56.221270Z,-20.988,102.333,11.9,320.0
9700001,2025-08-28T11:17:56.221270Z,-20.958,102.34,11.0,158.0
9700001,2025-08-28T12:17:56.221270Z,-20.95,102.317,12.7,157.0
9700001,2025-08-28T13:17:56.221270Z,-20.898,102.393,14.0,252.0
9700001,2025-08-28T14:17:56.221270Z,-20.876,102.337,14.9,256.0
9700001,2025-08-28T15:17:56.221270Z,-20.89,102.332,18.2,20.0
9700001,2025-08-28T16:17:56.221270Z,-20.901,102.348,12.0,196.0
9700001,2025-08-28T17:17:56.221270Z,-20.873,102.351,12.8,284.0
9700001,2025-08-28T18:17:56.221270Z,-20.821,102.404,10.1,291.0
9700001,2025-08-28T19:17:56.221270Z,-20.79,102.43,13.8,292.0
9700001,2025-08-28T20:17:56.221270Z,-20.734,102.516,11.5,29.0
9700001,2025-08-28T21:17:56.221270Z,-20.708,102.583,12.1,221.0
9700001,2025-08-28T22:17:56.221270Z,-20.668,102.587,13.7,212.0
9700001,2025-08-28T23:17:56.221270Z,-20.655,102.659,12.1,107.0
9700001,2025-08-29T00:17:56.221270Z,-20.632,102.684,9.7,83.0
9700001,2025-08-29T01:17:56.221270Z,-20.599,102.775,13.0,43.0
9700001,2025-08-29T02:17:56.221270Z,-20.606,102.829,13.3,261.0
9700001,2025-08-29T03:17:56.221270Z,-20.506,102.9,10.3,157.0
9700001,2025-08-29T04:17:56.221270Z,-20.513,102.911,4.7,287.0
9700001,2025-08-29T05:17:56.221270Z,-20.471,102.965,11.4,345.0
9700001,2025-08-29T06:17:56.221270Z,-20.42,103.04,12.0,359.0
9700001,2025-08-29T07:17:56.221270Z,-20.415,103.112,11.9,276.0
9700001,2025-08-29T08:17:56.221270Z,-20.374,103.17,13.6,153.0
9700001,2025-08-29T09:17:56.221270Z,-20.391,103.244,13.7,201.0
9700001,2025-08-29T10:17:56.221270Z,-20.367,103.277,12.5,67.0
9700001,2025-08-29T11:17:56.221270Z,-20.334,103.458,9.7,175.0
9700001,2025-08-29T12:17:56.221270Z,-20.351,103.527,9.0,284.0
9700001,2025-08-29T13:17:56.221270Z,-20.302,103.579,14.4,336.0
9700001,2025-08-29T14:17:56.221270Z,-20.343,103.66,12.1,241.0
9700001,2025-08-29T15:17:56.221270Z,-20.336,103.73,10.0,29.0
9700001,2025-08-29T16:17:56.221270Z,-20.28,103.883,15.5,141.0
9700001,2025-08-29T17:17:56.221270Z,-20.252,103.913,10.8,299.0
9700001,2025-08-29T18:17:56.221270Z,-20.241,103.982,9.6,351.0
9700001,2025-08-29T19:17:56.221270Z,-20.231,104.086,10.2,29.0
9700001,2025-08-29T20:17:56.221270Z,-20.171,104.105,8.1,87.0
9700001,2025-08-29T21:17:56.221270Z,-20.126,104.193,10.1,255.0
9700001,2025-08-29T22:17:56.221270Z,-20.085,104.309,11.8,248.0
9700001,2025-08-29T23:17:56.221270Z,-20.039,104.466,9.1,243.0
9700001,2025-08-30T00:17:56.221270Z,-20.034,104.558,11.4,192.0
9700001,2025-08-30T01:17:56.221270Z,-20.011,104.608,12.3,119.0
9700001,2025-08-30T02:17:56.221270Z,-20.02,104.65,9.0,94.0
